Name,Cation,Anion,Alkyl Chain,Functional Group,Heat Capacity (J/mol·K),Density (kg/m³),Toxicity (IC50 in mM),Solubility (g/L),Hydrophobicity (logP),Viscosity (Pa·s),Pareto Score,In ILThermo
1-(3-aminomethyl)-3-methylimidazolium acetate,Ethylimidazolium,Acetate,Methyl,Amino,808.8118978,2213.773258,23.00961078,2.50929039,-0.1236,0.08323998,0.467563042,No
"carboxyl-1,3-dimethylimidazolium acetate",Ethylimidazolium,Acetate,Methyl,Carboxyl,790.7469343,1784.48856,57.50146422,2.50929039,-0.5848,0.094019519,0.431984112,No
"carbonyl-1,3-dimethylimidazolium acetate",Ethylimidazolium,Acetate,Methyl,Carbonyl,755.3923789,1877.140735,49.52498681,2.50929039,-0.4705,0.058712805,0.440275326,No
"1,3-dimethylimidazolium acetate",Ethylimidazolium,Acetate,Methyl,,695.4381454,2242.604782,49.52498681,2.50929039,-0.2856,0.039267414,0.432796059,No
1-(2-hydroxyethyl)-3-methylimidazolium acetate,Ethylimidazolium,Acetate,Ethyl,Hydroxyl,795.9538115,2008.808469,26.77353326,2.829217014,-0.7202,0.060465085,0.470052653,No
1-(3-aminoethyl)-3-methylimidazolium acetate,Ethylimidazolium,Acetate,Ethyl,Amino,816.6581837,1978.971301,21.68856882,2.829217014,0.2665,0.092834284,0.488185617,No
carboxyl-1-ethyl-3-methylimidazolium acetate,Ethylimidazolium,Acetate,Ethyl,Carboxyl,798.5932202,1663.158395,54.73690732,2.829217014,-0.1947,0.104856281,0.435170025,No
carbonyl-1-ethyl-3-methylimidazolium acetate,Ethylimidazolium,Acetate,Ethyl,Carbonyl,763.2386649,1729.713069,46.375952,2.829217014,-0.0804,0.065480088,0.444420149,No
1-(2-hydroxypropyl)-3-methylimidazolium acetate,Ethylimidazolium,Acetate,Propyl,Hydroxyl,808.4406102,1842.454683,29.85357007,3.189933276,-0.3301,0.067434337,0.466218547,No
1-(3-aminopropyl)-3-methylimidazolium acetate,Ethylimidazolium,Acetate,Propyl,Amino,829.1449824,1818.303919,24.51505116,3.189933276,0.6566,0.103534435,0.467170558,No
1-(2-hydroxybutyl)-3-methylimidazolium acetate,Ethylimidazolium,Acetate,Butyl,Hydroxyl,820.0814162,1710.443834,27.09238954,3.596639726,0.06,0.071538988,0.489674113,No
1-(3-aminobutyl)-3-methylimidazolium acetate,Ethylimidazolium,Acetate,Butyl,Amino,840.7857884,1690.306646,21.99762313,3.596639726,1.0467,0.109836458,0.488936843,No
1-(2-hydroxypentyl)-3-methylimidazolium acetate,Ethylimidazolium,Acetate,Pentyl,Hydroxyl,831.7305252,1607.723534,29.85357007,2.159766254,0.4501,0.075893485,0.464943582,No
1-(3-aminopentyl)-3-methylimidazolium acetate,Ethylimidazolium,Acetate,Pentyl,Amino,852.4348974,1590.513917,24.51505116,2.159766254,1.4368,0.116522078,0.465776791,No
1-(3-aminohexyl)-3-methylimidazolium acetate,Ethylimidazolium,Acetate,Hexyl,Amino,864.0840064,1510.48969,19.73870746,2.159766254,1.8269,0.123614644,0.4709126,No
1-(2-hydroxyheptyl)-3-methylimidazolium acetate,Ethylimidazolium,Acetate,Heptyl,Hydroxyl,855.0204402,1458.094401,29.85357007,2.159766254,1.2303,0.085413771,0.462299695,No
1-(2-hydroxyhexyl)-3-methylimidazolium acetate,Ethylimidazolium,Acetate,Hexyl,Hydroxyl,843.3796342,1525.479865,24.58659281,2.159766254,0.8402,0.080513035,0.470771624,No
