Name,Cation,Anion,Alkyl Chain,Functional Group,Heat Capacity (J/mol·K),Density (kg/m³),Toxicity (IC50 in mM),Solubility (g/L),Hydrophobicity (logP),Viscosity (Pa·s),Pareto Score,In ILThermo
(2-hydroxyoctyl)-tetrabutylphosphonium tetrafluoroborate,Tetrabutylphosphonium,Tetrafluoroborate,Octyl,Hydroxyl,806.9101792,1325.23864,17.39099458,2.247907987,10.0465,0.115821256,0.55637333,No
carboxyl-decyltrimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carboxyl,1186.155485,1277.315992,12.18231139,1.733253018,8.7404,1.215429598,0.555350904,No
(2-hydroxydecyl)trimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Hydroxyl,1183.516076,1326.003143,9.008260495,1.733253018,8.2149,0.70087412,0.555264743,No
(3-aminodecyl)-tetrabutylphosphonium trifluoromethanesulfonate,Tetrabutylphosphonium,Trifluoromethanesulfonate,Decyl,Amino,1060.187867,1339.645846,20.87496327,1.665291195,10.5648,0.575857402,0.554872976,No
(3-aminobutyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Butyl,Amino,1235.988163,1627.122284,12.06833492,2.773194764,9.2321,1.106267381,0.552891586,No
(3-aminoheptyl)-tetrabutylphosphonium tetrafluoroborate,Tetrabutylphosphonium,Tetrafluoroborate,Heptyl,Amino,815.9654424,1346.322742,23.09286809,2.247907987,10.6431,0.167621721,0.552385646,No
1-(3-aminooctyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Octyl,Amino,1321.915036,1660.063362,3.868928364,1.915540829,7.55922,1.405467426,0.552027601,No
(3-aminopentyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Pentyl,Amino,1247.637272,1588.861726,15.39789907,1.665291195,9.6222,1.173604614,0.551612068,No
(3-aminodecyl)-tetrabutylphosphonium trifluoroacetate,Tetrabutylphosphonium,Trifluoroacetate,Decyl,Amino,968.3924104,1246.636748,20.87496327,1.665291195,9.812,0.340374042,0.551452058,No
carbonyl-1-octyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Octyl,Carbonyl,1268.495518,1595.749975,3.553098715,1.915540829,7.21232,0.991337749,0.55124924,No
(2-hydroxyhexyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Hexyl,Hydroxyl,1238.582009,1560.572875,13.07624367,1.665291195,9.0256,0.81092331,0.55122609,No
1-(2-hydroxydecyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Hydroxyl,1324.500579,1590.059203,4.432016235,1.915540829,7.35272,1.030244872,0.551109273,No
(2-hydroxynonyl)-tetrabutylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Hydroxyl,1273.51273,1470.79688,20.18896152,1.665291195,10.1959,0.968199574,0.551073382,No
tetrapentylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Pentyl,,1134.26352,1581.622668,15.10177676,1.665291195,9.4602,0.553633222,0.551071328,No
carboxyl-tetrahexylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Hexyl,Carboxyl,1241.221418,1486.993643,16.83251004,1.665291195,9.5511,1.406272773,0.550958737,No
carbonyl-tetraoctylphosphonium tetrafluoroborate,Tetrabutylphosphonium,Tetrafluoroborate,Octyl,Carbonyl,774.1950325,1273.100604,25.39144018,2.247907987,10.6863,0.125427526,0.550861797,No
carbonyl-tetrapentylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Pentyl,Carbonyl,1194.217754,1531.935676,15.10177676,1.665291195,9.2753,0.827794749,0.550678873,No
carbonyl-decyltrimethylammonium bis(trifluoromethanesulfonyl)imide,Tetraethylammonium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carbonyl,1122.607875,1352.368757,5.683019939,1.954237321,6.9042,0.564853863,0.550532874,No
(3-aminodecyl)-tetrabutylphosphonium methanesulfonate,Tetrabutylphosphonium,Methanesulfonate,Decyl,Amino,1038.290826,1281.375255,20.87496327,1.665291195,9.6748,0.40222088,0.549941509,No
(3-aminooctyl)-tetrabutylphosphonium dicyanamide,Tetrabutylphosphonium,Dicyanamide,Octyl,Amino,960.9535494,1255.124611,23.13532007,1.665291195,10.05546,0.328604714,0.549916466,No
octyl-phospholium bis(trifluoromethanesulfonyl)imide,Phospholium,Bis(trifluoromethanesulfonyl)imide,Octyl,,1034.269777,1305.249641,5.139164064,1,6.5426,0.362839254,0.549580053,No
1-(3-aminodecyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Butyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Amino,1288.80879,1580.733491,2.874534306,1.915540829,6.77902,1.248812918,0.549513481,No
carboxyl-tetranonylphosphonium bis(trifluoromethanesulfonyl)imide,Tetrabutylphosphonium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Carboxyl,1276.152139,1412.113562,24.80956822,1.665291195,10.7214,1.679015369,0.549395038,No
1-decyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Butyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,,1175.435038,1572.899486,2.593368576,1.915540829,6.61702,0.589111794,0.548964292,No
(3-aminooctyl)-tetrabutylphosphonium tosylate,Tetrabutylphosphonium,Tosylate,Octyl,Amino,1084.828704,1544.427238,23.13532007,1.665291195,10.63232,0.591554247,0.54880809,No
(3-aminononyl)trimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Amino,1192.571339,1342.69152,16.65512832,1.733253018,8.8115,1.014336487,0.548750022,No
N-decyl-N-methylpiperidinium bis(trifluoromethanesulfonyl)imide,Piperidinium,Bis(trifluoromethanesulfonyl)imide,Decyl,,1040.502454,1236.702676,3.871025314,1,5.981,0.377701036,0.548698237,No
carbonyl-1-decyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Butyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carbonyl,1235.389272,1521.325492,2.593368576,1.915540829,6.43212,0.880842461,0.548603508,No
(3-aminobutyl)-tetrabutylphosphonium tetrafluoroborate,Tetrabutylphosphonium,Tetrafluoroborate,Butyl,Amino,781.0264184,1451.012115,19.0146238,3.743421377,9.4728,0.140392915,0.548357549,No
nonyltrimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Nonyl,,1079.197587,1331.312259,16.30164087,1.733253018,8.6495,0.478500485,0.548353741,No
(3-aminohexyl)trimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Hexyl,Amino,1157.640618,1421.819578,10.13642681,1.733253018,7.6412,0.849565651,0.548292935,No
(3-aminodecyl)-tetrabutylphosphonium acetate,Tetrabutylphosphonium,Acetate,Decyl,Amino,935.3735644,1227.365734,20.87496327,1.665291195,9.2696,0.246151319,0.548168618,No
1-octylpyridinium bis(trifluoromethanesulfonyl)imide,1-Hexylpyridinium,Bis(trifluoromethanesulfonyl)imide,Octyl,,1105.450077,1731.284861,3.029853443,1.568312185,6.9805,0.420737647,0.548074718,No
1-(3-aminononyl)-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,1-Octyl-3-methylimidazolium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Amino,1333.555842,1619.891683,9.433226576,1.915540829,7.94932,1.491016624,0.547892676,No
carbonyl-N-decyl-N-methylpiperidinium bis(trifluoromethanesulfonyl)imide,Piperidinium,Bis(trifluoromethanesulfonyl)imide,Decyl,Carbonyl,1100.456687,1214.657018,3.871025314,1,5.7961,0.564740196,0.547836185,No
carbonyl-nonyltrimethylammonium bis(trifluoromethanesulfonyl)imide,Tributylmethylammonium,Bis(trifluoromethanesulfonyl)imide,Nonyl,Carbonyl,1139.151821,1303.404114,16.30164087,1.733253018,8.4646,0.715455962,0.547590238,No
